"File","Line","Match","Code"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","292","PROJECT_HISTORY.json","- PROJECT_HISTORY.json is append-only."
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","381","PROJECT_RUNTIME.json","'authority': 'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","393","PROJECT_RUNTIME.json","runtime = load_json(ROOT / 'PROJECT_RUNTIME.json')"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","510","PROJECT_RUNTIME.json","atomic_write_json('PROJECT_RUNTIME.json', runtime)"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","512","PROJECT_BOOT.json","boot = load_json(ROOT / 'PROJECT_BOOT.json')"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","515","PROJECT_RUNTIME.json","'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","516","PROJECT_BOOT.json","'PROJECT_BOOT.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","517","06_PROJECT_MASTER_STATE.md","'06_PROJECT_MASTER_STATE.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","518","07_PROJECT_HANDOFF.md","'07_PROJECT_HANDOFF.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","521","PROJECT_HISTORY.json","'PROJECT_HISTORY.json only if historical context is required',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","543","PROJECT_RUNTIME.json","'Read PROJECT_RUNTIME.json first. ERA54 and the NEWS operational baseline '"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","590","06_PROJECT_MASTER_STATE.md","'06_PROJECT_MASTER_STATE.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","591","07_PROJECT_HANDOFF.md","'07_PROJECT_HANDOFF.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","592","PROJECT_BOOT.json","'PROJECT_BOOT.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","593","PROJECT_RUNTIME.json","'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","594","PROJECT_HISTORY.json","'PROJECT_HISTORY.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","599","PROJECT_BOOT.json","atomic_write_json('PROJECT_BOOT.json', boot)"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","601","PROJECT_HISTORY.json","history = load_json(ROOT / 'PROJECT_HISTORY.json')"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","627","PROJECT_HISTORY.json","atomic_write_json('PROJECT_HISTORY.json', history)"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","634","PROJECT_RUNTIME.json","roadmap['current_state_authority'] = 'PROJECT_RUNTIME.json'"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","711","PROJECT_RUNTIME.json","CURRENT_STATE_AUTHORITY=PROJECT_RUNTIME.json"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","770","PROJECT_HISTORY.json","- Mandatory ERA closure document set completed, including `PROJECT_HISTORY.json` and `05_ATLAS.md`."
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","837","06_PROJECT_MASTER_STATE.md","update_current_markdown('06_PROJECT_MASTER_STATE.md', current_block)"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","838","07_PROJECT_HANDOFF.md","update_current_markdown('07_PROJECT_HANDOFF.md', current_block)"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","846","PROJECT_RUNTIME.json","1. `PROJECT_RUNTIME.json`"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","847","PROJECT_BOOT.json","2. `PROJECT_BOOT.json`"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","848","06_PROJECT_MASTER_STATE.md","3. `06_PROJECT_MASTER_STATE.md`"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","849","07_PROJECT_HANDOFF.md","4. `07_PROJECT_HANDOFF.md`"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","852","PROJECT_HISTORY.json","7. `PROJECT_HISTORY.json` only if history is needed"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","871","PROJECT_RUNTIME.json","'authority': 'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","889","PROJECT_RUNTIME.json","'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","890","PROJECT_BOOT.json","'PROJECT_BOOT.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","891","PROJECT_HISTORY.json","'PROJECT_HISTORY.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","893","06_PROJECT_MASTER_STATE.md","'06_PROJECT_MASTER_STATE.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","894","07_PROJECT_HANDOFF.md","'07_PROJECT_HANDOFF.md',"
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","44","PROJECT_RUNTIME.json","RUNTIME = ROOT / ""PROJECT_RUNTIME.json"""
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","45","PROJECT_HISTORY.json","HISTORY = ROOT / ""PROJECT_HISTORY.json"""
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","46","06_PROJECT_MASTER_STATE.md","MASTER = ROOT / ""06_PROJECT_MASTER_STATE.md"""
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","47","07_PROJECT_HANDOFF.md","HANDOFF = ROOT / ""07_PROJECT_HANDOFF.md"""
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","724","PROJECT_RUNTIME.json","CURRENT_STATE_AUTHORITY=PROJECT_RUNTIME.json"
"tools\legacy\era55a20_p0_post_remediation_audit_and_production_canary_decision_v1.py","725","06_PROJECT_MASTER_STATE.md","CURRENT_HUMAN_SUMMARY=06_PROJECT_MASTER_STATE.md"
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","56","PROJECT_RUNTIME.json","RUNTIME = ROOT / ""PROJECT_RUNTIME.json"""
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","57","PROJECT_HISTORY.json","HISTORY = ROOT / ""PROJECT_HISTORY.json"""
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","58","06_PROJECT_MASTER_STATE.md","MASTER = ROOT / ""06_PROJECT_MASTER_STATE.md"""
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","59","07_PROJECT_HANDOFF.md","HANDOFF = ROOT / ""07_PROJECT_HANDOFF.md"""
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","1337","PROJECT_RUNTIME.json","CURRENT_STATE_AUTHORITY=PROJECT_RUNTIME.json"
"tools\legacy\era55a21_p0_single_natural_cycle_post_remediation_canary_apply_and_post_audit_v1.py","1338","06_PROJECT_MASTER_STATE.md","CURRENT_HUMAN_SUMMARY=06_PROJECT_MASTER_STATE.md"
"tools\legacy\era55a22_p0_post_remediation_canary_red_team_general_production_activation_decision_v1.py","36","PROJECT_RUNTIME.json","RUNTIME = ROOT / ""PROJECT_RUNTIME.json"""
